"cat","catnum","level","statcode","fips","abbrev","name","isstate","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022"
"main",1,1,"Share",1,"AL","Alabama",1,0.04687864,0.04879859,0.05465815,0.06333917,0.0694619,0.06872062,0.07047713,0.06785025,0.06451014,0.07196412,0.07940921,0.08271805,0.08126435,0.07578072,0.07454116,0.08061823,0.08715809
"main",1,1,"Share",2,"AK","Alaska",1,0.1026939,0.12069201,0.11098214,0.11590923,0.11183354,0.10336167,0.10946081,0.10020201,0.1033139,0.13863729,0.14628907,0.13369773,0.1349757,0.12884288,0.13380596,0.18522327,0.15978627
"main",1,1,"Share",4,"AZ","Arizona",1,0.29119164,0.30427665,0.30805582,0.3044956,0.29904833,0.28297123,0.28064439,0.28880921,0.2842257,0.27757615,0.28109527,0.28686205,0.28483793,0.28137228,0.26554561,0.25638708,0.26324329
"main",1,1,"Share",5,"AR","Arkansas",1,0.07467694,0.08066368,0.08974072,0.09655104,0.10044289,0.10403465,0.10312169,0.10542794,0.11591534,0.11474963,0.10938644,0.10894674,0.1074964,0.10547628,0.10220313,0.11672744,0.12043227
"main",1,1,"Share",6,"CA","California",1,0.48734084,0.49073577,0.49082518,0.4911122,0.49367386,0.49258083,0.49425983,0.49550876,0.48830354,0.48711213,0.48941126,0.4807792,0.46949902,0.46759635,0.4634186,0.45803064,0.45585051
"main",1,1,"Share",8,"CO","Colorado",1,0.19823286,0.19906226,0.20958725,0.21121949,0.20900457,0.209573,0.21242219,0.22460763,0.22575654,0.22210206,0.22454883,0.22561318,0.22638108,0.21658725,0.20087528,0.2164553,0.21737441
"main",1,1,"Share",9,"CT","Connecticut",1,0.19082153,0.20051923,0.20870255,0.21664067,0.22386682,0.22904888,0.22768369,0.23293351,0.23696826,0.24369933,0.25750569,0.26473835,0.27447906,0.27745703,0.27394983,0.28317729,0.28677204
"main",1,1,"Share",10,"DE","Delaware",1,0.14299548,0.14618473,0.15932694,0.16950397,0.15704656,0.15741682,0.17653149,0.17983229,0.15691221,0.1721244,0.20761436,0.21632616,0.21568742,0.22490375,0.20057464,0.24767224,0.23294574
"main",1,1,"Share",11,"DC","District of Columbia",1,0.16043933,0.16730811,0.19808775,0.20671329,0.20248406,0.20746073,0.22426023,0.24544141,0.25679258,0.24015139,0.22453344,0.23768018,0.23650956,0.21931896,0.23677742,0.25035208,0.25902888
"main",1,1,"Share",12,"FL","Florida",1,0.29778063,0.301581,0.29771978,0.3040306,0.31018522,0.31075174,0.31834084,0.32187593,0.31967756,0.32611805,0.33178207,0.33597609,0.33812314,0.33299187,0.33313227,0.34785885,0.34634727
"main",1,1,"Share",13,"GA","Georgia",1,0.15103106,0.15626252,0.16462915,0.17661007,0.18354394,0.18643078,0.19052923,0.19272101,0.19939502,0.20503935,0.20284976,0.20675258,0.20965891,0.20606674,0.2063832,0.20849022,0.21358351
"main",1,1,"Share",15,"HI","Hawaii",1,0.27304307,0.25437912,0.27203402,0.27013928,0.26544654,0.29680738,0.30809981,0.29096383,0.28871235,0.28750709,0.29526719,0.30041116,0.29491425,0.2987707,0.27080894,0.26971972,0.27148196
